size,sizeNext,surv,days,id
28.64,32.4,1,7,cherie
32.4,16.32,1,7,cherie
0.0,5.776,1,7,cherie
5.776,9.44,1,7,cherie
9.44,67.48,1,7,cherie
67.48,12.32,1,7,cherie
12.32,3186.8,1,7,cherie
3186.8,23.6,1,7,cherie
23.6,3308.0,1,7,cherie
3308.0,9528.8,1,7,cherie
9528.8,36058.4,1,7,cherie
36058.4,6401.488,1,7,cherie
6401.488,8202.4,1,7,cherie
8202.4,7750.4,1,7,cherie
7750.4,11755.2,1,7,cherie
11755.2,,0,7,cherie
0.0,1.816,1,7,cherie
1.816,5.616,1,7,cherie
5.616,91.6,1,7,cherie
91.6,1124.4,1,7,cherie
1124.4,11776.0,1,7,cherie
11776.0,,0,7,cherie
0.0,0.0,1,7,cherie
0.0,0.0,1,7,cherie
0.0,4.056,1,7,cherie
4.056,1.912,1,7,cherie
1.912,6.872,1,7,cherie
6.872,582.0,1,7,cherie
582.0,5330.4,1,7,cherie
5330.4,7812.8,1,7,cherie
7812.8,5702.4,1,7,cherie
5702.4,536.1656,1,7,cherie
536.1656,526.4,1,7,cherie
526.4,523.2,1,7,cherie
523.2,271.2,1,7,cherie
271.2,27.44,1,7,cherie
27.44,140.8,1,7,cherie
140.8,8.0,1,7,cherie
8.0,1.344,1,7,cherie
1.344,9.52,1,7,cherie
9.52,3.536,1,7,cherie
0.0,6.216,1,7,cherie
6.216,46.24,1,7,cherie
46.24,486.8,1,7,cherie
486.8,1282.4,1,7,cherie
1282.4,3825.6,1,7,cherie
3825.6,4187.2,1,7,cherie
4187.2,,0,7,cherie
0.0,13.12,1,7,cherie
13.12,48.48,1,7,cherie
48.48,303.2,1,7,cherie
303.2,1389.6,1,7,cherie
1389.6,23150.4,1,7,cherie
23150.4,69736.8,1,7,cherie
69736.8,,0,7,cherie
0.0,9.664,1,3,temp
9.664,27.072,1,3,temp
27.072,2.976,1,3,temp
2.976,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,2.432,1,3,temp
2.432,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,1.152,1,3,temp
1.152,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,6.768,1,3,temp
6.768,0.0,1,3,temp
0.0,2.832,1,3,temp
2.832,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,5.816,1,3,temp
5.816,3.312,1,3,temp
3.312,0.648,1,3,temp
0.648,6.096,1,3,temp
6.096,0.0,1,3,temp
0.0,4.944,1,3,temp
4.944,4.952,1,3,temp
4.952,7.032,1,3,temp
7.032,12.944,1,3,temp
12.944,1.896,1,3,temp
1.896,55.448,1,3,temp
55.448,3.456,1,3,temp
3.456,64.424,1,3,temp
64.424,747.648,1,3,temp
747.648,64.152,1,3,temp
64.152,29.528,1,3,temp
29.528,3.536,1,3,temp
3.536,13.896,1,3,temp
13.896,19.4,1,3,temp
19.4,206.208,1,3,temp
206.208,0.0,1,3,temp
0.0,59.088,1,3,temp
59.088,77.304,1,3,temp
77.304,4.456,1,3,temp
4.456,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,2.048,1,3,temp
2.048,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.656,1,3,temp
0.656,0.0,1,3,temp
0.0,0.0,1,3,temp
0.0,0.0,1,3,temp
