size,sizeNext,time,individual,temp,surv,stage
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,,3,F4_4,4,0,adult
0.0,0.0,3,F4_4,4,1,adult
0.0,0.0,120,F4_4,4,1,adult
0.0,125.976,8,F4_5,4,1,adult
125.976,32.024,3,F4_5,4,1,adult
32.024,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,3.776,3,F4_5,4,1,adult
3.776,0.944,3,F4_5,4,1,adult
0.944,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,3.912,3,F4_5,4,1,adult
3.912,0.0,3,F4_5,4,1,adult
0.0,2.752,3,F4_5,4,1,adult
2.752,6.912,3,F4_5,4,1,adult
6.912,0.792,3,F4_5,4,1,adult
0.792,1.188,3,F4_5,4,1,adult
1.188,1.696,3,F4_5,4,1,adult
1.696,0.0,3,F4_5,4,1,adult
0.0,9.688,3,F4_5,4,1,adult
9.688,31.408,3,F4_5,4,1,adult
31.408,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,0.0,3,F4_5,4,1,adult
0.0,1.776,3,F4_5,4,1,adult
1.776,7.528,3,F4_5,4,1,adult
7.528,0.0,3,F4_5,4,1,adult
0.0,6.168,3,F4_5,4,1,adult
6.168,2.816,3,F4_5,4,1,adult
2.816,6.792,3,F4_5,4,1,adult
6.792,2.048,3,F4_5,4,1,adult
2.048,1.368,3,F4_5,4,1,adult
1.368,0.32,3,F4_5,4,1,adult
0.32,0.0,3,F4_5,4,1,adult
0.0,8.704,3,F4_5,4,1,adult
8.704,0.0,120,F4_5,4,1,adult
0.0,15.64,8,F12_1,12,1,adult
15.64,2.84,3,F12_1,12,1,adult
2.84,81.52,3,F12_1,12,1,adult
81.52,0.0,3,F12_1,12,1,adult
0.0,15.664,3,F12_1,12,1,adult
15.664,50.368,3,F12_1,12,1,adult
50.368,0.0,3,F12_1,12,1,adult
0.0,0.0,3,F12_1,12,1,adult
0.0,4.048,3,F12_1,12,1,adult
4.048,24.528,3,F12_1,12,1,adult
24.528,2.888,3,F12_1,12,1,adult
2.888,146.72,3,F12_1,12,1,adult
146.72,76.336,3,F12_1,12,1,adult
76.336,127.624,3,F12_1,12,1,adult
127.624,56.56,3,F12_1,12,1,adult
56.56,7.44,3,F12_1,12,1,adult
7.44,15.536,3,F12_1,12,1,adult
15.536,704.824,3,F12_1,12,1,adult
704.824,158.904,3,F12_1,12,1,adult
158.904,296.248,3,F12_1,12,1,adult
296.248,7616.488,3,F12_1,12,1,adult
7616.488,3306.224,3,F12_1,12,1,adult
3306.224,538.776,3,F12_1,12,1,adult
538.776,11004.568,3,F12_1,12,1,adult
11004.568,6396.448,3,F12_1,12,1,adult
6396.448,7927.088,3,F12_1,12,1,adult
7927.088,4057.192,3,F12_1,12,1,adult
4057.192,0.0,3,F12_1,12,1,adult
0.0,1283.088,3,F12_1,12,1,adult
1283.088,33116.504,3,F12_1,12,1,adult
33116.504,91842.224,3,F12_1,12,1,adult
91842.224,31783.976,3,F12_1,12,1,adult
31783.976,0.0,3,F12_1,12,1,adult
0.0,135593.288,3,F12_1,12,1,adult
135593.288,35561.192,3,F12_1,12,1,adult
35561.192,209348.832,3,F12_1,12,1,adult
209348.832,82029.912,3,F12_1,12,1,adult
82029.912,17774.392,3,F12_1,12,1,adult
0.0,13.432,8,F12_2,12,1,adult
