"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"1",86.6503275734575,78.4279148552836,71.4019359177496,65.3831690689141,60.2136579067935,55.7614176796794,51.9160496223248,48.5851066967973,45.6910811609361,43.1689067481752,40.9638867589293,39.0299746919642,37.3283467294069,35.8262158842775,34.4958463006738,33.3137333760308,32.2599213110361,31.3174346003373,30.471804033907,29.710671132095,29.0234577088884,28.4010895486191,27.835765074776,27.3207614547109,26.8502718779606,26.4192688157914,26.0233889543992,25.6588362261515,25.3222999689374,25.0108857450587,24.7220567662712,24.4535842155584,24.2035050413263,23.9700860361702,23.751793208588,23.5472656189673,23.3552929865788,23.1747964869305,23.004812252563,22.8444771684603
"2",86.251785537622,78.0768454779099,71.0971758133923,65.1199994747541,59.9868252825355,55.5659456717988,51.7474787966688,48.4395408247353,45.5651612187986,43.0597587261719,40.8690625293308,38.9473942403199,37.2562451978106,35.7630966156411,34.4404400050881,33.2649630494047,32.2168723334244,31.2793293839016,30.4379806050454,29.6805650804883,28.9965869976557,28.3770417437771,27.8141866133154,27.3013486263318,26.8327632449081,26.4034388382385,26.0090426257919,25.6458045544372,25.3104361662743,25.0000620110855,24.7121615688981,24.4445199890551,24.1951862347069,23.9624374559113,23.7447486089262,23.5407665006944,23.3492875716501,23.1692388415268,22.9996615356898,22.8396969868632
"3",85.8549669576591,77.7278949086382,70.79445442413,64.8586678864178,59.7616049847677,55.3718684425415,51.5801051887248,48.2949979719741,45.4401132176633,42.9513529211401,40.774869825431,38.865351238984,37.1846013605879,35.7003675220339,34.3853667629295,33.2164774562576,32.1740672011155,31.2414333896441,30.4043370519272,29.6506140007595,28.9698500949002,28.3531097345409,27.7927085899884,27.2820231187096,26.815330707057,26.387675330053,25.9947544953558,25.6328239585695,25.2986172931048,24.9892778907939,24.7023013774689,24.4354867655703,24.1868949458005,23.9548133519465,23.7377258255739,23.5342868671949,23.3432995933745,23.1636968297299,22.9945248617443,22.8349294419304
"4",85.4599306296083,77.3810710779081,70.493766513422,64.5991650638862,59.5379869442818,55.1791763380436,51.4139200404463,48.1514704212055,45.3159304728541,42.8436836049373,40.6813037731855,38.783841559994,37.1134117324132,35.6380256664885,34.3306241021315,33.1682745169097,32.1315041645888,31.2037451452683,30.3708721347242,29.6208168478756,28.9432461187734,28.3292927757802,27.7713303742581,27.2627843974217,26.7979738106726,26.3719779053117,25.9805242342286,25.6198941577678,25.2868431092247,24.9785331782778,24.6924760151176,24.4264843928692,24.1786310433033,23.9472136107915,23.7307247602465,23.5278266331748,23.3373289775827,23.1581703869156,22.9894021743089,22.8301744843144
"5",85.0667300247017,77.0363806649962,70.1951064334246,64.3414816329174,59.3159610678447,54.9878597268115,51.248914634652,48.0089505014452,45.1926063452918,42.7367450914799,40.5883595359768,38.702861107969,37.042672855918,35.5760681357905,34.2762095706718,33.1203521685113,32.0891814884082,31.1662631902354,30.3375846234073,29.5911725849629,28.9167741942162,28.305590128014,27.7500513402885,27.2436319319595,26.7806921052815,26.3563461808109,25.9663515158186,25.6070148731497,25.2751133760187,24.9678276689624,24.6826853060955,24.4175127196572,24.1703943967029,23.9396381196297,23.7237453152239,23.5213857138183,23.3313756505106,23.1526594488043,22.9842934172597,22.8254320649177
"6",84.6754137562803,76.6938291750934,69.898468148376,64.0856080941613,59.0955172421454,54.7979090014579,51.0850802957241,47.8674305882247,45.0701342414422,42.6305317365811,40.4960323144111,38.622405819897,36.972381301489,35.5144920402976,34.2221207364119,33.0727083649075,32.0470974511055,31.1289860756656,30.3044732976644,29.561680183237,28.8904334529016,28.2820010573628,27.7288708669064,27.2245651956969,26.7634851436452,26.3407797760452,25.952236015787,25.5941858277156,25.2634278564475,24.9571611595945,24.6729290757637,24.4085715955726,24.1621848762732,23.9320867663079,23.7167873933468,23.5149640247839,23.3254395387967,23.1471639514586,22.9791985347639,22.8207021348916
"7",84.2860259957292,76.3534210110829,69.6038452567576,63.8315348318637,58.8766453375693,54.609314580356,50.9224083902703,47.7269031037687,44.948507613258,42.525037937784,40.4043173461099,38.5424716649234,36.9025336670684,35.4532945137592,34.1683551869403,33.0253410765004,32.0052503450647,31.0919123642413,30.2715369468188,29.5323386219366,28.864223033179,28.2585248355033,27.7077883375624,27.2055836658584,26.7463524817345,26.3252783131861,25.9381774120302,25.5814067463351,25.2517863150366,24.9465334482325,24.6632071505847,24.3996608711799,24.1540023530682,23.9245594393312,23.7098508980123,23.5085614822019,23.3195205694798,23.141683831281,22.9741174712781,22.8159846456343
"8",83.8986068442107,76.0151595404608,69.3112310122989,63.5792521221705,58.6593352118084,54.4220669092195,50.7608903277457,47.5873605171502,44.8277199581089,42.4202581341911,40.3132099055023,38.4630546441378,36.8331265779536,35.3924727131358,34.1149105294136,32.9782482901149,31.9636384764065,31.0550406301095,30.2387743697482,29.503146888255,28.8381420800185,28.2351607396208,27.6868031402929,27.1866868234878,26.729293678703,26.3098414170603,25.9241753846622,25.5686773557317,25.2401885178639,24.9359443342369,24.6535193581141,24.3907803979634,24.1458466989169,23.9170560278589,23.7029357331705,23.5021780026708,23.313618669996,23.136219025012,22.9690501715471,22.8112795487894
"9",83.5131926659087,75.6790471577963,69.020618343897,63.3287501410618,58.4435767133173,54.2361564626067,50.6005175610387,47.4487953444302,44.7077648187041,42.3161868062889,40.2227053036155,38.3841507903622,36.764156686599,35.3320238184211,34.0617843904011,32.9314280088632,31.9222601648749,31.0183694587867,30.2061843748044,29.4741039772739,28.8121897449548,28.2119080523647,27.6659146676829,27.1678741534169,26.7123082968621,26.294468715129,25.9102296159972,25.5559973844691,25.2286342325482,24.9253936182601,24.6438655269931,24.3819300283204,24.1377177864175,23.9095764216998,23.696041803321,23.4958135032546,23.3077337681762,23.130769469728,22.9639965806012,22.8065867962448
"10",83.1298163876439,75.345085343086,68.7319998745163,63.0800189719255,58.2293596846132,54.0515737453578,50.4412815870239,47.3112001487782,44.5886357830064,42.2128184757693,40.1327988878631,38.3057561679388,36.6956206724168,35.2719450324631,34.0089744157288,32.8848782520121,31.8811137437235,30.9818974470633,30.1737657797345,29.4452088918974,28.786365186033,28.1887660618028,27.6451223168277,27.149145144235,26.6953959016551,26.2791598374666,25.8963397905324,25.543366562937,25.2171232282374,24.914881102237,24.63424548694,24.3731096155546,24.1296154889326,23.9021205113076,23.6891690135088,23.4894679014792,23.3018657922437,23.1253351028386,22.9589566437553,22.8019063401307
